Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Location duplicate,Latitude,Longitude,New Georeferenced Column,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
Cascade Natural Gas Corporation LDC - statewide,2019,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,23358,0,242,23116,0,0,0,0,0,,1,"(46.21875, -119.22987)","(46.21875, -119.22987)",46.21875,-119.22987,POINT (-119.22987 46.21875),2955,4,12
Puget Sound Energy - Mint Farm Generating Station - Longview,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,356270,0,355908,165,197,0,0,0,0,,3,"(46.140095, -122.985138)","(46.140095, -122.985138)",46.140095,-122.985138,POINT (-122.985138 46.140095),2978,3,26
TransAlta Centralia Generation LLC - Centralia,2020,Power Plants,Coal Plants,221112,Fossil Fuel Electric Power Generation,,Centralia,Lewis,Southwest Clean Air Agency,5844587,0,5798775,16757,29055,0,0,0,0,Unit 1 permanently shut down 12/31/20.,5,"(46.7559, -122.8578)","(46.7559, -122.8578)",46.7559,-122.8578,POINT (-122.8578 46.7559),3196,3,27
Avista Corporation LDC - WA - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,12716,0,18,12698,0,0,0,0,0,,1,,,,,,,,
REC Solar Grade Silicon - Moses Lake,2018,Metals,Other Metals,331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum),REC Silicon,Moses Lake,Grant,Ecology: Eastern Regional Office,63133,0,63068,30,35,0,0,0,0,,2,"(47.138359, -119.200383)","(47.138359, -119.200383)",47.138359,-119.200383,POINT (-119.200383 47.138359),2982,4,19
NW Natural LDC - WA - statewide,2016,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,NW Natural,Portland,Clark,Southwest Clean Air Agency,7984,0,10,7974,0,0,0,0,0,,1,,,,,,,,
The Boeing Company - Auburn Site - Auburn,2012,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38932,0,38892,18,22,0,0,0,0,,2,"(47.285551, -122.242298)","(47.285551, -122.242298)",47.285551,-122.242298,POINT (-122.242298 47.285551),3009,8,14
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2019,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,55694,0,0,55694,0,0,0,0,0,,2,"(47.405083, -120.167444)","(47.405083, -120.167444)",47.405083,-120.167444,POINT (-120.167444 47.405083),2979,4,18
Sierra Pacific Industries - Centralia,2012,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,37760,36951,0,315,493,0,0,0,0,,2,"(46.756413, -122.995433)","(46.756413, -122.995433)",46.756413,-122.995433,POINT (-122.995433 46.756413),3196,3,27
Darling Ingredients Inc - Tacoma,2017,Food Production,Meat Products,311613,Rendering and Meat Byproduct Processing,Darling Ingredients Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,11327,0,11315,5,6,0,0,0,0,,1,"(47.250503, -122.406461)","(47.250503, -122.406461)",47.250503,-122.406461,POINT (-122.406461 47.250503),3210,9,11
Naval Base Kitsap Bangor - Silverdale,2018,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,21669,0,21541,11,117,0,0,0,0,,1,"(47.699284, -122.696926)","(47.699284, -122.696926)",47.699284,-122.696926,POINT (-122.696926 47.699284),848,6,29
